Dates;PX_LAST;PX_BID;PX_ASK
17.09.2014;58,75;58,5;59
18.09.2014;57,2;56,985;57,415
19.09.2014;56,312;56,11;56,513
22.09.2014;58,701;58,476;58,926
23.09.2014;60,608;60,392;60,825
24.09.2014;59,444;59,247;59,64
25.09.2014;61,65;61,4;61,9
26.09.2014;64,075;63,75;64,4
29.09.2014;66,829;66,575;67,083
30.09.2014;64,389;64,156;64,623
01.10.2014;65;64,75;65,25
02.10.2014;62,675;62,434;62,917
03.10.2014;58,55;58,3;58,8
06.10.2014;67,852;67,635;68,069
07.10.2014;69,778;69,545;70,011
08.10.2014;66,95;66,7;67,2
09.10.2014;70,155;69,905;70,405
10.10.2014;71,75;71,5;72
14.10.2014;72,75;72,5;73
15.10.2014;74;73,75;74,25
16.10.2014;73,65;73,4;73,9
17.10.2014;70,4;70,15;70,65
20.10.2014;69,251;69,027;69,474
21.10.2014;66,025;65,794;66,257
22.10.2014;68,05;67,8;68,3
23.10.2014;66,034;65,818;66,25
24.10.2014;64,9;64,676;65,125
27.10.2014;65;64,75;65,25
28.10.2014;64,45;64,2;64,7
29.10.2014;65,75;65,5;66
30.10.2014;65,8;65,55;66,05
31.10.2014;63,95;63,7;64,2
03.11.2014;64,201;63,975;64,426
04.11.2014;65,262;65,023;65,5
05.11.2014;64,75;64,5;65
06.11.2014;64,6;64,35;64,85
07.11.2014;65,35;65,1;65,6
10.11.2014;64,283;64,051;64,515
12.11.2014;64,45;64,25;64,65
13.11.2014;65,025;64,8;65,25
14.11.2014;65,35;65,1;65,6
17.11.2014;66,479;66,295;66,662
18.11.2014;67,105;66,905;67,305
19.11.2014;66,625;66,4;66,85
20.11.2014;65,85;65,616;66,083
21.11.2014;63,75;63,5;64
24.11.2014;61,185;60,994;61,375
25.11.2014;60,675;60,45;60,9
26.11.2014;60,45;60,265;60,635
28.11.2014;60,451;60,245;60,656
01.12.2014;62,75;62,5;63
02.12.2014;62,1;61,85;62,35
03.12.2014;61,55;61,38;61,72
04.12.2014;61,8;61,615;61,985
05.12.2014;62,501;62,303;62,698
08.12.2014;64,537;64,335;64,74
09.12.2014;64,831;64,621;65,041
10.12.2014;68,1;67,874;68,325
11.12.2014;69,15;68,917;69,384
12.12.2014;72,555;72,332;72,779
15.12.2014;74,408;74,158;74,658
16.12.2014;76,258;76,033;76,484
17.12.2014;69,673;69,425;69,92
18.12.2014;65,094;64,8;65,389
19.12.2014;64,51;64,277;64,744
22.12.2014;64,9;64,65;65,15
23.12.2014;64,4;64,175;64,626
24.12.2014;64,501;64,267;64,734
26.12.2014;64,501;64,291;64,71
29.12.2014;65,475;65,225;65,725
30.12.2014;66,35;66,1;66,6
31.12.2014;66,326;66,1;66,551
02.01.2015;66,35;66,127;66,574
05.01.2015;69,175;68,971;69,379
06.01.2015;71,75;71,5;72
